slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
acyqu01,Quincy Acy,SMALL FORWARD,23,TORONTO RAPTORS,7,61,17.2,0.542,0.357,0.571,9.5,19.2,14.3,10.1,3.4,3.9,10.2,14.5,0.1,0.1,0.2,0.188,1.2,3.7,5.0,0.1,False
acyqu01,Quincy Acy,SMALL FORWARD,23,SACRAMENTO KINGS,56,786,9.6,0.518,0.079,0.354,9.5,19.5,14.4,4.4,1.2,2.4,16.0,9.8,0.5,0.7,1.3,0.078,-2.8,0.6,-2.2,0.0,False
adamsst01,Steven Adams,CENTER,20,OKLAHOMA CITY THUNDER,81,1197,11.2,0.541,0.0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0.9,1.9,2.9,0.114,-3.1,0.9,-2.2,-0.1,False
adrieje01,Jeff Adrien,POWER FORWARD,27,CHARLOTTE BOBCATS,25,256,14.9,0.559,0.0,0.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,0.4,0.5,0.9,0.17,-1.8,1.7,0.0,0.1,False
adrieje01,Jeff Adrien,POWER FORWARD,27,MILWAUKEE BUCKS,28,705,18.4,0.552,0.0,0.4,10.9,25.0,17.7,7.7,1.3,2.4,10.1,19.7,1.2,0.6,1.8,0.121,0.6,-1.8,-1.2,0.1,False
afflaar01,Arron Afflalo,SHOOTING GUARD,28,ORLANDO MAGIC,73,2552,16.0,0.574,0.297,0.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,4.3,1.0,5.3,0.099,1.4,-1.6,-0.2,1.1,False
ajincal01,Alexis Ajinça,CENTER,25,NEW ORLEANS PELICANS,56,951,14.6,0.589,0.004,0.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,1.2,0.9,2.1,0.104,-2.7,0.1,-2.6,-0.1,False
aldrico01,Cole Aldrich,CENTER,25,NEW YORK KNICKS,46,330,19.1,0.62,0.0,0.492,12.8,33.8,23.0,6.4,1.3,8.1,19.5,13.0,0.6,0.6,1.2,0.178,-0.1,1.6,1.5,0.3,False
aldrila01,LaMarcus Aldridge,POWER FORWARD,28,PORTLAND TRAIL BLAZERS,69,2498,21.8,0.507,0.011,0.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,4.0,3.5,7.5,0.144,2.3,0.1,2.3,2.7,False
allenla01,Lavoy Allen,POWER FORWARD,24,PHILADELPHIA 76ERS,51,960,11.9,0.464,0.049,0.15,11.5,20.0,15.6,10.2,1.1,2.2,12.4,14.3,0.4,0.7,1.1,0.053,-2.9,-1.0,-3.8,-0.4,False
allenla01,Lavoy Allen,POWER FORWARD,24,INDIANA PACERS,14,112,17.5,0.521,0.0,0.294,13.7,20.1,17.1,9.0,0.9,4.1,9.4,17.3,0.2,0.2,0.4,0.18,-0.8,0.2,-0.5,0.0,False
allenra02,Ray Allen,SHOOTING GUARD,38,MIAMI HEAT,73,1936,12.8,0.59,0.569,0.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,2.5,1.5,4.1,0.101,0.5,-0.9,-0.4,0.8,False
allento01,Tony Allen,SHOOTING GUARD,32,MEMPHIS GRIZZLIES,55,1278,15.6,0.531,0.114,0.293,7.3,12.0,9.6,11.7,3.8,1.2,16.2,20.1,0.5,2.1,2.7,0.1,-1.1,2.1,1.0,1.0,False
